x, true, terminal
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.173325912716962877e-02,-1.919087765614641561e-01,3.172793349806764945e-02
6.346651825433925753e-02,-3.819378317145113999e-01,6.342391965656450636e-02
9.519977738150889324e-02,-5.682241518630711807e-01,9.505604330418267189e-02
1.269330365086785151e-01,-7.489380694243574776e-01,1.265924535737492640e-01
1.586662956358481369e-01,-9.222997567271512542e-01,1.580013959733498896e-01
1.903995547630177865e-01,-1.086595491128096835e+00,1.892512443604102146e-01
2.221328138901874083e-01,-1.240193593093029234e+00,2.203105327865406415e-01
2.538660730173570301e-01,-1.381559922264856022e+00,2.511479871810792242e-01
2.855993321445266520e-01,-1.509272798149512651e+00,2.817325568414296710e-01
3.173325912716962738e-01,-1.622037193466165039e+00,3.120334456984871219e-01
3.490658503988658956e-01,-1.718698030995397863e+00,3.420201433256687129e-01
3.807991095260355729e-01,-1.798252400498153714e+00,3.716624556603275731e-01
4.125323686532051948e-01,-1.859860502466476495e+00,4.009305354066137195e-01
4.442656277803748166e-01,-1.902855121434059882e+00,4.297949120891716435e-01
4.759988869075444384e-01,-1.926749434400828020e+00,4.582265217274104074e-01
5.077321460347140603e-01,-1.931242970374716483e+00,4.861967361004687072e-01
5.394654051618836821e-01,-1.916225555498936250e+00,5.136773915734063056e-01
5.711986642890533039e-01,-1.881779104703207750e+00,5.406408174555975554e-01
6.029319234162229257e-01,-1.828177154863398712e+00,5.670598638627707411e-01
6.346651825433925476e-01,-1.755882075235337014e+00,5.929079290546404035e-01
6.663984416705621694e-01,-1.665539937222993760e+00,6.181589862206051667e-01
6.981317007977317912e-01,-1.557973075793521289e+00,6.427876096865392519e-01
7.298649599249014130e-01,-1.434170427240333945e+00,6.667690005162916211e-01
7.615982190520711459e-01,-1.295275780515352082e+00,6.900790114821120369e-01
7.933314781792407677e-01,-1.142574129905711278e+00,7.126941713788629285e-01
8.250647373064103896e-01,-9.774763633298511056e-01,7.345917086575333155e-01
8.567979964335800114e-01,-8.015025609927558525e-01,7.557495743542582689e-01
8.885312555607496332e-01,-6.162642117959243881e-01,7.761464642917568213e-01
9.202645146879192550e-01,-4.234456782658528873e-01,7.957618405308320986e-01
9.519977738150888769e-01,-2.247852537380197191e-01,8.145759520503357276e-01
9.837310329422584987e-01,-2.205615743639132223e-02,8.325698546347714002e-01
1.015464292069428121e+00,1.829521962830548132e-01,8.497254299495143881e-01
1.047197551196597853e+00,3.884523386165095182e-01,8.660254037844387076e-01
1.078930810323767364e+00,5.926760115950602259e-01,8.814533634475820723e-01
1.110664069450937097e+00,7.938903122085491093e-01,8.959937742913358649e-01
1.142397328578106608e+00,9.904125165452243307e-01,9.096319953545183301e-01
1.174130587705276341e+00,1.180623437446403079e+00,9.223542941045814736e-01
1.205863846832445851e+00,1.362979224674786050e+00,9.341478602651066554e-01
1.237597105959615584e+00,1.536021572902903864e+00,9.450008187146684557e-01
1.269330365086785095e+00,1.698386357534751534e+00,9.549022414440738737e-01
1.301063624213954828e+00,1.848810769138517607e+00,9.638421585599420416e-01
1.332796883341124339e+00,1.986139061926412319e+00,9.718115683235416524e-01
1.364530142468294072e+00,2.109327068382109704e+00,9.788024462147787430e-01
1.396263401595463582e+00,2.217445659285151471e+00,9.848077530122080203e-01
1.427996660722633315e+00,2.309683344931503957e+00,9.898214418809326842e-01
1.459729919849802826e+00,2.385348218705982681e+00,9.938384644612541230e-01
1.491463178976972559e+00,2.443869438250976689e+00,9.968547759519423845e-01
1.523196438104142292e+00,2.484798422746521407e+00,9.988673391830079629e-01
1.554929697231311803e+00,2.507809918224845891e+00,9.998741276738750683e-01
1.586662956358481535e+00,2.512703047806025047e+00,9.998741276738750683e-01
1.618396215485651046e+00,2.499402422076849373e+00,9.988673391830079629e-01
1.650129474612820779e+00,2.467959338674134084e+00,9.968547759519423845e-01
1.681862733739990290e+00,2.418553051824920974e+00,9.938384644612541230e-01
1.713595992867160023e+00,2.351492044596749320e+00,9.898214418809327952e-01
1.745329251994329534e+00,2.267215191373750827e+00,9.848077530122080203e-01
1.777062511121499266e+00,2.166292657932379129e+00,9.788024462147787430e-01
1.808795770248668777e+00,2.049426353551359270e+00,9.718115683235416524e-01
1.840529029375838510e+00,1.917449725636593216e+00,9.638421585599420416e-01
1.872262288503008021e+00,1.771326673749010316e+00,9.549022414440738737e-01
1.903995547630177754e+00,1.612149357596577071e+00,9.450008187146684557e-01
1.935728806757347265e+00,1.441134682883193907e+00,9.341478602651068774e-01
1.967462065884516997e+00,1.259619269758217586e+00,9.223542941045813626e-01
1.999195325011686508e+00,1.069052740317796735e+00,9.096319953545184411e-01
2.030928584138856241e+00,8.709892030159183118e-01,8.959937742913358649e-01
2.062661843266025752e+00,6.670768613511889322e-01,8.814533634475820723e-01
2.094395102393195707e+00,4.590457298395123620e-01,8.660254037844384856e-01
2.126128361520365218e+00,2.486934998201602021e-01,8.497254299495142771e-01
2.157861620647534728e+00,3.786965865409271798e-02,8.325698546347714002e-01
2.189594879774704239e+00,-1.715419741252842134e-01,8.145759520503358386e-01
2.221328138901874194e+00,-3.776420735975913323e-01,7.957618405308319876e-01
2.253061398029043705e+00,-5.785357282495779963e-01,7.761464642917568213e-01
2.284794657156213216e+00,-7.723531367995143393e-01,7.557495743542582689e-01
2.316527916283382726e+00,-9.572707354766875065e-01,7.345917086575334265e-01
2.348261175410552681e+00,-1.131532385312331135e+00,7.126941713788627064e-01
2.379994434537722192e+00,-1.293470237668767009e+00,6.900790114821119259e-01
2.411727693664891703e+00,-1.441524896759804886e+00,6.667690005162917322e-01
2.443460952792061214e+00,-1.574264510115547688e+00,6.427876096865394739e-01
2.475194211919231169e+00,-1.690402441155939295e+00,6.181589862206050556e-01
2.506927471046400679e+00,-1.788813211154582472e+00,5.929079290546404035e-01
2.538660730173570190e+00,-1.868546439411736593e+00,5.670598638627708521e-01
2.570393989300740145e+00,-1.928838558621218668e+00,5.406408174555970003e-01
2.602127248427909656e+00,-1.969122135203370094e+00,5.136773915734066387e-01
2.633860507555079167e+00,-1.989032679660330372e+00,4.861967361004687072e-01
2.665593766682248678e+00,-1.988412887649167127e+00,4.582265217274105185e-01
2.697327025809418632e+00,-1.967314306405555602e+00,4.297949120891714214e-01
2.729060284936588143e+00,-1.925996471504660246e+00,4.009305354066136085e-01
2.760793544063757654e+00,-1.864923604096343279e+00,3.716624556603275731e-01
2.792526803190927165e+00,-1.784758997406024950e+00,3.420201433256688794e-01
2.824260062318097120e+00,-1.686357252535904738e+00,3.120334456984869553e-01
2.855993321445266631e+00,-1.570754546927873418e+00,2.817325568414296710e-01
2.887726580572436141e+00,-1.439157134169549490e+00,2.511479871810792797e-01
2.919459839699605652e+00,-1.292928281454125639e+00,2.203105327865408081e-01
2.951193098826775607e+00,-1.133573851628527418e+00,1.892512443604100758e-01
2.982926357953945118e+00,-9.627267313892104994e-01,1.580013959733498896e-01
3.014659617081114629e+00,-7.821302970679124833e-01,1.265924535737489309e-01
3.046392876208284584e+00,-5.936210960229049149e-01,9.505604330418243597e-02
3.078126135335454094e+00,-3.991109064313986265e-01,6.342391965656439534e-02
3.109859394462623605e+00,-2.005683227804817559e-01,3.172793349806765639e-02
3.141592653589793116e+00,-8.662126371122604157e-16,1.224646799147353207e-16
